"ID","Age","Year","BroodName","SocialDadID","FWPO","FEPO","FTO","F_EPP_brood","F_total_Brood_number","Number_Broods_with_Partner"
28,1,2002,"B003",4325,2,0,2,0,4,4
28,1,2002,"B037",4325,3,0,3,0,4,4
28,1,2002,"B065",4325,3,0,3,0,4,4
28,2,2003,"C022",4325,2,0,2,0,4,4
32,1,2002,"B041",104,3,2,5,1,7,1
32,2,2003,"C009",4229,3,1,4,1,7,5
32,2,2003,"C074",4229,1,0,1,0,7,5
32,2,2003,"C129",4229,4,0,4,0,7,5
32,3,2004,"D027",4229,5,0,5,0,7,5
32,3,2004,"D123",4229,4,1,5,1,7,5
32,3,2004,"D212",513,0,2,2,1,7,1
34,1,2002,"B040",4153,2,1,3,1,1,1
38,1,2002,"B024",4403,3,0,3,0,3,3
38,1,2002,"B059",4403,5,0,5,0,3,3
38,2,2003,"C027",4403,3,0,3,0,3,3
41,1,2002,"B016",11,3,0,3,0,7,2
41,1,2002,"B053",11,3,2,5,1,7,2
41,2,2003,"C043",287,0,3,3,1,7,1
41,3,2004,"D032",517,5,0,5,0,7,4
41,3,2004,"D085",517,3,1,4,1,7,4
41,3,2004,"D153",517,3,0,3,0,7,4
41,3,2004,"D186",517,1,0,1,0,7,4
45,1,2002,"B062",55,2,0,2,0,13,1
45,2,2003,"C015",166,2,0,2,0,13,12
45,2,2003,"C111",166,4,0,4,0,13,12
45,2,2003,"C125",166,5,0,5,0,13,12
45,3,2004,"D018",166,3,2,5,1,13,12
45,3,2004,"D086",166,4,0,4,0,13,12
45,3,2004,"D160",166,4,0,4,0,13,12
45,4,2005,"E048",166,5,0,5,0,13,12
45,4,2005,"E143",166,4,0,4,0,13,12
45,4,2005,"E197",166,4,0,4,0,13,12
45,5,2006,"F006",166,5,0,5,0,13,12
45,5,2006,"F077",166,4,0,4,0,13,12
45,5,2006,"F115",166,5,0,5,0,13,12
48,1,2002,"B028",46,4,0,4,0,2,2
48,1,2002,"B060",46,4,0,4,0,2,2
51,1,2002,"B026",24,2,2,4,1,2,2
51,1,2002,"B058",24,4,0,4,0,2,2
60,1,2002,"B008",4419,1,1,2,1,4,2
60,1,2002,"B036",4419,2,1,3,1,4,2
60,2,2003,"C066",24,5,0,5,0,4,2
60,2,2003,"C117",24,5,0,5,0,4,2
76,2,2003,"C006",145,2,0,2,0,6,2
76,2,2003,"C096",145,4,0,4,0,6,2
76,3,2004,"D059",287,3,3,6,1,6,4
76,3,2004,"D150",287,5,0,5,0,6,4
76,4,2005,"E041",287,5,0,5,0,6,4
76,4,2005,"E145",287,4,0,4,0,6,4
91,1,2002,"B031",4295,1,0,1,0,5,2
91,1,2002,"B057",4295,3,0,3,0,5,2
91,2,2003,"C034",115,1,0,1,0,5,2
91,2,2003,"C076",115,1,0,1,0,5,2
91,2,2003,"C115",4503,4,0,4,0,5,1
108,1,2002,"B014",4153,3,0,3,0,1,1
122,2,2003,"C048",132,1,2,3,1,8,5
122,2,2003,"C100",132,4,1,5,1,8,5
122,3,2004,"D089",132,3,0,3,0,8,5
122,3,2004,"D166",132,3,1,4,1,8,5
122,3,2004,"D208",132,2,1,3,1,8,5
122,4,2005,"E080",1448,3,1,4,1,8,3
122,4,2005,"E157",1448,4,1,5,1,8,3
122,4,2005,"E229",1448,0,3,3,1,8,3
123,1,2002,"B013",4303,4,0,4,0,4,4
123,1,2002,"B048",4303,4,0,4,0,4,4
123,1,2002,"B071",4303,3,0,3,0,4,4
123,2,2003,"C026",4303,1,2,3,1,4,4
170,1,2002,"B015",4463,3,2,5,1,2,2
170,1,2002,"B049",4463,3,0,3,0,2,2
206,1,2002,"B011",126,2,1,3,1,17,2
206,1,2002,"B038",126,3,1,4,1,17,2
206,2,2003,"C036",663,3,0,3,0,17,7
206,2,2003,"C088",663,2,3,5,1,17,7
206,2,2003,"C123",663,3,0,3,0,17,7
206,3,2004,"D002",663,1,0,1,0,17,7
206,3,2004,"D068",663,5,0,5,0,17,7
206,3,2004,"D119",663,2,0,2,0,17,7
206,3,2004,"D161",663,2,3,5,1,17,7
206,4,2005,"E012",2018,3,0,3,0,17,5
206,4,2005,"E081",2018,4,1,5,1,17,5
206,4,2005,"E156",2018,2,0,2,0,17,5
206,4,2005,"E196",2018,6,0,6,0,17,5
206,5,2006,"F010",2018,2,1,3,1,17,5
206,5,2006,"F041",2906,3,1,4,1,17,1
206,5,2006,"F091",2661,4,0,4,0,17,2
206,5,2006,"F126",2661,5,0,5,0,17,2
253,1,2003,"C008",417,2,0,2,0,3,3
253,1,2003,"C080",417,3,0,3,0,3,3
253,1,2003,"C116",417,3,0,3,0,3,3
256,1,2003,"C003",4230,3,0,3,0,9,1
256,1,2003,"C046",129,3,0,3,0,9,1
256,2,2004,"D056",132,2,2,4,1,9,2
256,2,2004,"D142",132,2,1,3,1,9,2
256,3,2005,"E077",1448,2,1,3,1,9,1
256,3,2005,"E148",650,4,1,5,1,9,4
256,4,2006,"F025",650,1,1,2,1,9,4
256,4,2006,"F058",650,3,1,4,1,9,4
256,4,2006,"F104",650,5,0,5,0,9,4
284,1,2003,"C042",4275,2,0,2,0,6,1
284,1,2003,"C085",4403,4,0,4,0,6,1
284,1,2003,"C094",4464,3,0,3,0,6,1
284,2,2004,"D031",456,2,0,2,0,6,3
284,2,2004,"D082",456,4,0,4,0,6,3
284,2,2004,"D139",456,4,0,4,0,6,3
298,1,2003,"C041",363,4,0,4,0,2,1
298,1,2003,"C101",457,4,0,4,0,2,1
309,1,2003,"C013",4326,1,0,1,0,11,4
309,1,2003,"C056",4326,2,2,4,1,11,4
309,1,2003,"C107",4326,3,2,5,1,11,4
309,2,2004,"D065",4326,4,0,4,0,11,4
309,2,2004,"D114",4422,2,1,3,1,11,3
309,2,2004,"D157",4422,4,0,4,0,11,3
309,2,2004,"D207",4422,0,3,3,1,11,3
309,3,2005,"E038",993,3,0,3,0,11,4
309,3,2005,"E126",993,3,1,4,1,11,4
309,3,2005,"E208",993,3,0,3,0,11,4
309,3,2005,"E243",993,3,0,3,0,11,4
338,2,2004,"D041",603,0,2,2,1,12,3
338,2,2004,"D084",603,0,4,4,1,12,3
338,2,2004,"D130",603,0,5,5,1,12,3
338,2,2004,"D179",466,5,0,5,0,12,7
338,3,2005,"E051",466,5,0,5,0,12,7
338,3,2005,"E100",466,5,0,5,0,12,7
338,3,2005,"E189",466,4,0,4,0,12,7
338,4,2006,"F009",466,5,0,5,0,12,7
338,4,2006,"F040",466,3,0,3,0,12,7
338,4,2006,"F093",466,3,0,3,0,12,7
338,4,2006,"F113",2906,2,0,2,0,12,1
338,5,2007,"G005",2605,3,0,3,0,12,1
342,2,2004,"D117",421,3,1,4,1,5,5
342,2,2004,"D190",421,2,0,2,0,5,5
342,3,2005,"E030",421,4,0,4,0,5,5
342,3,2005,"E125",421,5,0,5,0,5,5
342,3,2005,"E206",421,2,0,2,0,5,5
346,1,2003,"C010",4264,3,1,4,1,6,5
346,1,2003,"C059",4264,3,0,3,0,6,5
346,1,2003,"C113",4264,2,1,3,1,6,5
346,2,2004,"D057",4264,5,0,5,0,6,5
346,2,2004,"D147",4264,1,2,3,1,6,5
346,3,2005,"E047",1956,4,0,4,0,6,1
353,1,2003,"C032",422,1,0,1,0,8,2
353,1,2003,"C079",422,4,0,4,0,8,2
353,1,2003,"C130",4247,3,1,4,1,8,1
353,2,2004,"D030",725,4,0,4,0,8,5
353,2,2004,"D093",725,5,0,5,0,8,5
353,2,2004,"D173",725,4,1,5,1,8,5
353,3,2005,"E039",725,3,1,4,1,8,5
353,3,2005,"E146",725,6,0,6,0,8,5
371,1,2003,"C045",602,3,0,3,0,7,1
371,1,2003,"C081",4230,2,1,3,1,7,5
371,1,2003,"C118",4230,4,0,4,0,7,5
371,2,2004,"D008",4230,1,0,1,0,7,5
371,2,2004,"D051",4230,2,1,3,1,7,5
371,2,2004,"D133",4230,2,2,4,1,7,5
371,2,2004,"D206",456,0,2,2,1,7,1
416,1,2003,"C004",4435,2,0,2,0,10,1
416,1,2003,"C062",4418,4,0,4,0,10,9
416,1,2003,"C119",4418,2,1,3,1,10,9
416,2,2004,"D052",4418,3,1,4,1,10,9
416,2,2004,"D131",4418,2,2,4,1,10,9
416,2,2004,"D193",4418,1,3,4,1,10,9
416,3,2005,"E020",4418,4,0,4,0,10,9
416,3,2005,"E088",4418,2,1,3,1,10,9
416,3,2005,"E164",4418,2,2,4,1,10,9
416,3,2005,"E232",4418,3,1,4,1,10,9
419,1,2003,"C044",590,4,0,4,0,7,1
419,1,2003,"C084",4415,4,0,4,0,7,1
419,1,2003,"C131",4503,4,0,4,0,7,4
419,2,2004,"D020",4503,3,1,4,1,7,4
419,2,2004,"D118",4503,1,1,2,1,7,4
419,2,2004,"D204",4503,4,0,4,0,7,4
419,3,2005,"E059",765,2,1,3,1,7,1
427,1,2003,"C005",22,1,1,2,1,11,9
427,1,2003,"C061",22,6,0,6,0,11,9
427,1,2003,"C112",22,5,0,5,0,11,9
427,2,2004,"D046",22,5,0,5,0,11,9
427,2,2004,"D106",22,4,1,5,1,11,9
427,2,2004,"D183",22,3,1,4,1,11,9
427,3,2005,"E025",22,4,1,5,1,11,9
427,3,2005,"E129",22,4,1,5,1,11,9
427,3,2005,"E215",22,4,0,4,0,11,9
427,4,2006,"F039",285,3,1,4,1,11,1
427,4,2006,"F084",661,5,0,5,0,11,1
428,1,2003,"C064",370,6,0,6,0,5,1
428,1,2003,"C106",4325,3,1,4,1,5,1
428,2,2004,"D060",4421,5,0,5,0,5,3
428,2,2004,"D137",4421,5,0,5,0,5,3
428,2,2004,"D200",4421,3,0,3,0,5,3
431,1,2003,"C051",448,1,2,3,1,8,1
431,1,2003,"C102",356,2,1,3,1,8,7
431,2,2004,"D039",356,3,0,3,0,8,7
431,2,2004,"D100",356,3,0,3,0,8,7
431,2,2004,"D163",356,1,3,4,1,8,7
431,3,2005,"E036",356,2,1,3,1,8,7
431,3,2005,"E133",356,3,2,5,1,8,7
431,3,2005,"E224",356,1,0,1,0,8,7
438,1,2003,"C082",11,3,0,3,0,6,6
438,1,2003,"C128",11,1,0,1,0,6,6
438,2,2004,"D007",11,1,0,1,0,6,6
438,2,2004,"D075",11,3,1,4,1,6,6
438,2,2004,"D151",11,3,1,4,1,6,6
438,3,2005,"E027",11,5,0,5,0,6,6
442,1,2003,"C019",4304,2,0,2,0,10,3
442,1,2003,"C060",4304,4,0,4,0,10,3
442,1,2003,"C114",4304,4,0,4,0,10,3
442,2,2004,"D028",457,3,2,5,1,10,7
442,2,2004,"D083",457,4,0,4,0,10,7
442,2,2004,"D145",457,3,1,4,1,10,7
442,3,2005,"E034",457,2,0,2,0,10,7
442,3,2005,"E110",457,5,0,5,0,10,7
442,3,2005,"E162",457,4,0,4,0,10,7
442,3,2005,"E239",457,4,0,4,0,10,7
444,1,2003,"C018",354,1,0,1,0,1,1
469,1,2003,"C025",46,1,0,1,0,2,1
469,1,2003,"C122",115,4,0,4,0,2,1
471,1,2003,"C054",421,4,0,4,0,9,2
471,1,2003,"C108",421,4,0,4,0,9,2
471,1,2003,"C127",661,3,0,3,0,9,7
471,2,2004,"D005",661,1,1,2,1,9,7
471,2,2004,"D077",661,2,1,3,1,9,7
471,2,2004,"D154",661,5,0,5,0,9,7
471,3,2005,"E024",661,3,0,3,0,9,7
471,3,2005,"E092",661,4,0,4,0,9,7
471,3,2005,"E183",661,3,0,3,0,9,7
512,NA,2004,"D061",765,3,1,4,1,5,5
512,NA,2004,"D146",765,4,0,4,0,5,5
512,NA,2005,"E065",765,3,0,3,0,5,5
512,NA,2005,"E114",765,4,0,4,0,5,5
512,NA,2005,"E212",765,3,0,3,0,5,5
521,1,2004,"D017",1038,3,1,4,1,5,5
521,1,2004,"D090",1038,3,1,4,1,5,5
521,1,2004,"D189",1038,2,2,4,1,5,5
521,2,2005,"E022",1038,4,0,4,0,5,5
521,2,2005,"E089",1038,3,2,5,1,5,5
524,1,2004,"D175",110,4,0,4,0,5,1
524,2,2005,"E032",2018,4,0,4,0,5,3
524,2,2005,"E099",2018,3,1,4,1,5,3
524,2,2005,"E188",2018,1,0,1,0,5,3
524,3,2006,"F005",4153,4,0,4,0,5,1
533,1,2004,"D081",417,3,1,4,1,5,5
533,1,2004,"D155",417,3,1,4,1,5,5
533,2,2005,"E013",417,3,1,4,1,5,5
533,2,2005,"E102",417,5,0,5,0,5,5
533,2,2005,"E187",417,5,0,5,0,5,5
540,1,2004,"D044",383,3,1,4,1,5,2
540,1,2004,"D115",383,5,0,5,0,5,2
540,2,2005,"E045",1053,5,0,5,0,5,3
540,2,2005,"E147",1053,5,0,5,0,5,3
540,2,2005,"E225",1053,4,0,4,0,5,3
542,1,2004,"D105",466,4,0,4,0,5,1
542,2,2005,"E066",251,3,0,3,0,5,3
542,2,2005,"E120",251,3,0,3,0,5,3
542,2,2005,"E211",251,4,0,4,0,5,3
542,4,2007,"G060",3478,3,2,5,1,5,1
551,1,2004,"D014",251,5,0,5,0,2,2
551,1,2004,"D112",251,5,0,5,0,2,2
555,1,2004,"D021",370,4,0,4,0,1,1
556,1,2004,"D024",23,4,0,4,0,6,6
556,1,2004,"D122",23,3,3,6,1,6,6
556,1,2004,"D156",23,4,0,4,0,6,6
556,1,2004,"D195",23,2,1,3,1,6,6
556,2,2005,"E054",23,3,2,5,1,6,6
556,2,2005,"E137",23,5,0,5,0,6,6
560,1,2004,"D006",1103,4,0,4,0,4,1
560,2,2005,"E017",4230,5,0,5,0,4,3
560,2,2005,"E086",4230,3,0,3,0,4,3
560,2,2005,"E184",4230,5,0,5,0,4,3
562,1,2004,"D026",393,1,2,3,1,3,3
562,1,2004,"D088",393,1,2,3,1,3,3
562,1,2004,"D188",393,3,1,4,1,3,3
569,1,2004,"D062",1043,1,0,1,0,3,1
569,2,2005,"E083",1717,3,0,3,0,3,2
569,2,2005,"E113",1717,2,2,4,1,3,2
571,1,2004,"D038",4423,3,1,4,1,7,2
571,1,2004,"D136",4423,1,1,2,1,7,2
571,2,2005,"E070",974,3,0,3,0,7,3
571,2,2005,"E241",974,2,2,4,1,7,3
571,2,2005,"E247",974,2,1,3,1,7,3
571,3,2006,"F027",1227,4,0,4,0,7,2
571,3,2006,"F065",1227,4,0,4,0,7,2
586,1,2003,"C017",460,3,1,4,1,14,1
586,1,2003,"C078",285,4,0,4,0,14,8
586,2,2004,"D033",285,5,0,5,0,14,8
586,2,2004,"D094",285,4,0,4,0,14,8
586,2,2004,"D177",285,4,0,4,0,14,8
586,3,2005,"E031",285,4,0,4,0,14,8
586,3,2005,"E105",285,2,3,5,1,14,8
586,3,2005,"E181",285,2,0,2,0,14,8
586,3,2005,"E233",285,2,0,2,0,14,8
586,4,2006,"F087",4230,4,0,4,0,14,1
586,4,2006,"F107",2651,5,0,5,0,14,4
586,5,2007,"G029",2651,3,1,4,1,14,4
586,5,2007,"G063",2651,3,1,4,1,14,4
586,5,2007,"G094",2651,3,1,4,1,14,4
592,2,2004,"D011",418,2,0,2,0,8,8
592,2,2004,"D072",418,3,1,4,1,8,8
592,2,2004,"D127",418,2,1,3,1,8,8
592,3,2005,"E049",418,4,0,4,0,8,8
592,3,2005,"E169",418,2,0,2,0,8,8
592,4,2006,"F018",418,3,0,3,0,8,8
592,4,2006,"F081",418,3,0,3,0,8,8
592,4,2006,"F122",418,3,1,4,1,8,8
595,1,2003,"C012",4422,1,0,1,0,3,1
595,1,2003,"C050",356,4,0,4,0,3,1
595,1,2003,"C105",725,3,1,4,1,3,1
601,1,2003,"C023",4153,1,1,2,1,3,1
601,1,2003,"C083",645,3,0,3,0,3,2
601,1,2003,"C120",645,1,0,1,0,3,2
604,1,2003,"C058",456,3,0,3,0,9,1
604,1,2003,"C104",4463,5,0,5,0,9,1
604,2,2004,"D064",4304,2,0,2,0,9,7
604,2,2004,"D124",4304,5,0,5,0,9,7
604,3,2005,"E005",4304,1,1,2,1,9,7
604,3,2005,"E021",4304,5,0,5,0,9,7
604,3,2005,"E091",4304,5,0,5,0,9,7
604,3,2005,"E171",4304,4,1,5,1,9,7
604,3,2005,"E240",4304,4,1,5,1,9,7
605,1,2003,"C065",44,1,0,1,0,8,1
605,1,2003,"C097",178,5,0,5,0,8,1
605,2,2004,"D025",4423,3,0,3,0,8,3
605,2,2004,"D121",4423,2,2,4,1,8,3
605,2,2004,"D165",4423,1,3,4,1,8,3
605,3,2005,"E057",1227,5,0,5,0,8,3
605,3,2005,"E144",1227,1,0,1,0,8,3
605,3,2005,"E182",1227,4,1,5,1,8,3
615,1,2003,"C052",4463,3,1,4,1,2,1
615,1,2003,"C095",287,4,1,5,1,2,1
622,3,2005,"E123",1954,3,0,3,0,4,3
622,3,2005,"E244",1954,1,0,1,0,4,3
622,4,2006,"F060",1954,1,1,2,1,4,3
622,4,2006,"F101",2187,1,1,2,1,4,1
646,1,2003,"C053",4413,4,0,4,0,8,3
646,1,2003,"C089",4413,4,0,4,0,8,3
646,1,2003,"C132",4413,3,2,5,1,8,3
646,2,2004,"D087",500,5,0,5,0,8,3
646,2,2004,"D168",500,5,0,5,0,8,3
646,3,2005,"E046",500,3,2,5,1,8,3
646,3,2005,"E151",1226,4,0,4,0,8,1
646,3,2005,"E205",500,2,2,4,1,8,1
649,1,2003,"C028",626,2,0,2,0,10,3
649,1,2003,"C086",626,3,0,3,0,10,3
649,1,2003,"C126",626,4,0,4,0,10,3
649,2,2004,"D029",460,2,1,3,1,10,7
649,2,2004,"D078",460,4,0,4,0,10,7
649,2,2004,"D158",460,2,1,3,1,10,7
649,3,2005,"E019",460,2,0,2,0,10,7
649,3,2005,"E085",460,4,0,4,0,10,7
649,3,2005,"E155",460,4,0,4,0,10,7
649,3,2005,"E222",460,4,0,4,0,10,7
670,1,2003,"C007",4274,1,0,1,0,2,2
670,1,2003,"C063",4274,3,0,3,0,2,2
704,1,2003,"C035",4503,2,0,2,0,7,3
704,1,2003,"C049",4503,2,0,2,0,7,3
704,1,2003,"C103",4503,3,0,3,0,7,3
704,2,2004,"D048",504,5,0,5,0,7,2
704,2,2004,"D101",504,3,0,3,0,7,2
704,2,2004,"D180",115,4,0,4,0,7,1
704,3,2005,"E121",1438,3,0,3,0,7,1
723,2,2003,"C039",44,4,0,4,0,3,2
723,2,2003,"C109",44,4,0,4,0,3,2
723,3,2004,"D047",24,3,1,4,1,3,1
750,2,2005,"E202",1898,4,0,4,0,2,1
750,4,2007,"G050",3496,4,0,4,0,2,1
753,1,2004,"D095",822,4,0,4,0,2,2
753,1,2004,"D172",822,3,1,4,1,2,2
784,1,2004,"D126",499,2,0,2,0,8,2
784,1,2004,"D171",499,4,0,4,0,8,2
784,2,2005,"E060",1095,3,1,4,1,8,4
784,2,2005,"E112",1095,5,0,5,0,8,4
784,2,2005,"E179",1095,2,0,2,0,8,4
784,2,2005,"E223",1095,2,1,3,1,8,4
784,3,2006,"F061",417,3,0,3,0,8,2
784,3,2006,"F108",417,5,0,5,0,8,2
819,1,2004,"D043",602,2,0,2,0,6,5
819,1,2004,"D097",602,3,0,3,0,6,5
819,1,2004,"D144",602,3,0,3,0,6,5
819,2,2005,"E035",602,5,0,5,0,6,5
819,2,2005,"E130",602,5,0,5,0,6,5
819,2,2005,"E172",11,2,1,3,1,6,1
832,1,2004,"D109",1099,3,0,3,0,4,1
832,2,2005,"E063",1464,1,0,1,0,4,3
832,2,2005,"E104",1464,5,0,5,0,4,3
832,2,2005,"E199",1464,2,1,3,1,4,3
843,1,2004,"D104",1053,3,0,3,0,5,1
843,1,2004,"D191",370,4,0,4,0,5,1
843,2,2005,"E227",1343,4,0,4,0,5,1
843,3,2006,"F078",2904,3,0,3,0,5,2
843,3,2006,"F114",2904,4,0,4,0,5,2
857,1,2004,"D063",4247,2,1,3,1,8,3
857,1,2004,"D138",4247,4,0,4,0,8,3
857,1,2004,"D210",4247,2,0,2,0,8,3
857,2,2005,"E072",1569,3,2,5,1,8,5
857,2,2005,"E131",1569,3,2,5,1,8,5
857,2,2005,"E216",1569,1,2,3,1,8,5
857,3,2006,"F075",1569,2,1,3,1,8,5
857,3,2006,"F120",1569,4,0,4,0,8,5
860,1,2004,"D107",114,3,0,3,0,10,5
860,1,2004,"D184",114,2,1,3,1,10,5
860,2,2005,"E078",114,3,1,4,1,10,5
860,2,2005,"E160",114,3,1,4,1,10,5
860,2,2005,"E204",114,1,3,4,1,10,5
860,3,2006,"F079",2246,2,2,4,1,10,1
860,3,2006,"F123",114,4,0,4,0,10,1
860,4,2007,"G020",2693,0,4,4,1,10,3
860,4,2007,"G056",2693,0,1,1,1,10,3
860,4,2007,"G079",2693,3,1,4,1,10,3
885,1,2004,"D066",984,1,3,4,1,1,1
892,1,2004,"D037",4435,3,1,4,1,12,12
892,1,2004,"D102",4435,3,1,4,1,12,12
892,1,2004,"D169",4435,3,1,4,1,12,12
892,2,2005,"E006",4435,2,1,3,1,12,12
892,2,2005,"E053",4435,4,0,4,0,12,12
892,2,2005,"E116",4435,5,0,5,0,12,12
892,2,2005,"E198",4435,3,1,4,1,12,12
892,2,2005,"E236",4435,2,1,3,1,12,12
892,3,2006,"F012",4435,4,0,4,0,12,12
892,3,2006,"F052",4435,4,0,4,0,12,12
892,3,2006,"F094",4435,5,0,5,0,12,12
892,3,2006,"F130",4435,5,0,5,0,12,12
903,1,2004,"D042",354,3,2,5,1,6,6
903,1,2004,"D108",354,3,0,3,0,6,6
903,1,2004,"D176",354,4,0,4,0,6,6
903,2,2005,"E037",354,3,0,3,0,6,6
903,2,2005,"E135",354,4,0,4,0,6,6
903,2,2005,"E193",354,5,0,5,0,6,6
912,1,2004,"D132",959,2,0,2,0,1,1
913,1,2004,"D096",818,4,0,4,0,5,5
913,1,2004,"D143",818,4,0,4,0,5,5
913,2,2005,"E090",818,1,0,1,0,5,5
913,2,2005,"E139",818,5,0,5,0,5,5
913,2,2005,"E220",818,3,0,3,0,5,5
917,1,2004,"D182",4463,0,2,2,1,4,4
917,2,2005,"E026",4463,0,3,3,1,4,4
917,2,2005,"E136",4463,1,2,3,1,4,4
917,2,2005,"E174",4463,2,1,3,1,4,4
927,1,2004,"D058",466,2,2,4,1,10,1
927,2,2005,"E067",1717,3,0,3,0,10,2
927,2,2005,"E152",1717,5,0,5,0,10,2
927,3,2006,"F067",494,5,0,5,0,10,2
927,3,2006,"F118",494,1,1,2,1,10,2
927,4,2007,"G017",2202,4,1,5,1,10,3
927,5,2008,"H010",2202,5,0,5,0,10,3
927,5,2008,"H024",2202,5,0,5,0,10,3
927,6,2009,"I026",3445,1,3,4,1,10,2
927,6,2009,"I051",3445,1,2,3,1,10,2
928,1,2004,"D034",513,3,2,5,1,2,2
928,1,2004,"D098",513,3,1,4,1,2,2
929,1,2004,"D049",46,5,0,5,0,8,2
929,1,2004,"D116",46,4,0,4,0,8,2
929,2,2005,"E075",115,6,0,6,0,8,1
929,2,2005,"E122",500,4,1,5,1,8,1
929,3,2006,"F097",984,4,0,4,0,8,1
929,4,2007,"G041",2202,5,0,5,0,8,3
929,4,2007,"G086",2202,2,0,2,0,8,3
929,4,2007,"G093",2202,0,2,2,1,8,3
955,1,2004,"D053",591,2,2,4,1,3,3
955,1,2004,"D140",591,5,0,5,0,3,3
955,1,2004,"D215",591,3,0,3,0,3,3
960,1,2004,"D050",650,4,0,4,0,5,5
960,1,2004,"D103",650,2,0,2,0,5,5
960,1,2004,"D141",650,4,0,4,0,5,5
960,1,2004,"D214",650,3,0,3,0,5,5
960,2,2005,"E043",650,5,0,5,0,5,5
963,1,2004,"D170",1053,1,0,1,0,6,2
963,1,2004,"D201",1053,4,0,4,0,6,2
963,2,2005,"E061",505,4,0,4,0,6,3
963,2,2005,"E231",505,2,1,3,1,6,3
963,2,2005,"E245",505,3,0,3,0,6,3
963,3,2006,"F127",4395,1,0,1,0,6,1
980,1,2004,"D113",971,1,3,4,1,5,1
980,2,2005,"E117",4421,2,0,2,0,5,3
980,2,2005,"E168",4421,4,0,4,0,5,3
980,2,2005,"E221",4421,3,0,3,0,5,3
980,3,2006,"F098",23,3,1,4,1,5,1
985,1,2004,"D036",409,0,1,1,1,8,4
985,1,2004,"D091",409,4,0,4,0,8,4
985,1,2004,"D149",409,3,1,4,1,8,4
985,1,2004,"D199",409,3,0,3,0,8,4
985,2,2005,"E001",818,1,0,1,0,8,1
985,2,2005,"E040",409,4,1,5,1,8,2
985,2,2005,"E111",409,2,1,3,1,8,2
985,2,2005,"E200",602,4,0,4,0,8,1
988,1,2004,"D040",145,2,2,4,1,10,9
988,1,2004,"D129",145,0,4,4,1,10,9
988,1,2004,"D164",145,4,0,4,0,10,9
988,1,2004,"D209",145,2,1,3,1,10,9
988,2,2005,"E003",145,3,1,4,1,10,9
988,2,2005,"E042",145,4,1,5,1,10,9
988,2,2005,"E128",145,2,2,4,1,10,9
988,2,2005,"E167",145,3,1,4,1,10,9
988,2,2005,"E238",145,2,1,3,1,10,9
988,3,2006,"F089",2970,5,0,5,0,10,1
1047,2,2005,"E064",1226,4,0,4,0,3,2
1047,2,2005,"E217",1226,1,0,1,0,3,2
1047,3,2006,"F066",500,2,0,2,0,3,1
1048,1,2004,"D019",902,3,1,4,1,5,1
